2025-05-05 10:57:09.1272|Debug|ECommerce.API.Program|init main |URL: |Action: 
2025-05-05 10:57:10.1222|Debug|Microsoft.AspNetCore.Mvc.ModelBinding.ModelBinderFactory|Registered model binder providers, in the following order: Microsoft.AspNetCore.Mvc.ModelBinding.Binders.BinderTypeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.ServicesModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.BodyModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.HeaderModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.FloatingPointTypeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.EnumTypeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.DateTimeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.SimpleTypeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.TryParseModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.CancellationTokenModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.ByteArrayModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.FormFileModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.FormCollectionModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.KeyValuePairModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.DictionaryModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.ArrayModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.CollectionModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.ComplexObjectModelBinderProvider |URL: |Action: 
2025-05-05 10:57:10.2143|Debug|Microsoft.Extensions.Hosting.Internal.Host|Hosting starting |URL: |Action: 
2025-05-05 10:57:10.2312|Debug|Microsoft.AspNetCore.Watch.BrowserRefresh.BlazorWasmHotReloadMiddleware|Middleware loaded |URL: |Action: 
2025-05-05 10:57:10.2312|Debug|Microsoft.AspNetCore.Watch.BrowserRefresh.BrowserScriptMiddleware|Middleware loaded. Script /_framework/aspnetcore-browser-refresh.js (16511 B). |URL: |Action: 
2025-05-05 10:57:10.2312|Debug|Microsoft.AspNetCore.Watch.BrowserRefresh.BrowserScriptMiddleware|Middleware loaded. Script /_framework/blazor-hotreload.js (799 B). |URL: |Action: 
2025-05-05 10:57:10.4134|Debug|Microsoft.AspNetCore.Watch.BrowserRefresh.BrowserRefreshMiddleware|Middleware loaded: DOTNET_MODIFIABLE_ASSEMBLIES=debug, __ASPNETCORE_BROWSER_TOOLS=true |URL: |Action: 
2025-05-05 10:57:10.5836|Info|Microsoft.Hosting.Lifetime|Now listening on: https://localhost:7295 |URL: |Action: 
2025-05-05 10:57:10.5891|Info|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5103 |URL: |Action: 
2025-05-05 10:57:10.5891|Debug|Microsoft.AspNetCore.Hosting.Diagnostics|Loaded hosting startup assembly ECommerce.API |URL: |Action: 
2025-05-05 10:57:10.5891|Debug|Microsoft.AspNetCore.Hosting.Diagnostics|Loaded hosting startup assembly Microsoft.WebTools.ApiEndpointDiscovery |URL: |Action: 
2025-05-05 10:57:10.5891|Debug|Microsoft.AspNetCore.Hosting.Diagnostics|Loaded hosting startup assembly Microsoft.AspNetCore.Watch.BrowserRefresh |URL: |Action: 
2025-05-05 10:57:10.5891|Debug|Microsoft.AspNetCore.Hosting.Diagnostics|Loaded hosting startup assembly Microsoft.WebTools.BrowserLink.Net |URL: |Action: 
2025-05-05 10:57:10.6129|Debug|Microsoft.AspNetCore.Server.Kestrel.Connections|Connection id "0HNCBL9O9DP2H" accepted. |URL: |Action: 
2025-05-05 10:57:10.6129|Debug|Microsoft.AspNetCore.Server.Kestrel.Connections|Connection id "0HNCBL9O9DP2I" accepted. |URL: |Action: 
2025-05-05 10:57:10.6129|Debug|Microsoft.AspNetCore.Server.Kestrel.Connections|Connection id "0HNCBL9O9DP2I" started. |URL: |Action: 
2025-05-05 10:57:10.6129|Debug|Microsoft.AspNetCore.Server.Kestrel.Connections|Connection id "0HNCBL9O9DP2H" started. |URL: |Action: 
2025-05-05 10:57:10.6374|Debug|Microsoft.AspNetCore.Server.Kestrel.Transport.Sockets|Connection id "0HNCBL9O9DP2I" received FIN. |URL: |Action: 
2025-05-05 10:57:10.6374|Debug|Microsoft.AspNetCore.Server.Kestrel.Transport.Sockets|Connection id "0HNCBL9O9DP2H" received FIN. |URL: |Action: 
2025-05-05 10:57:10.6584|Debug|Microsoft.AspNetCore.Server.Kestrel.Https.Internal.HttpsConnectionMiddleware|Failed to authenticate HTTPS connection. System.IO.IOException: Received an unexpected EOF or 0 bytes from the transport stream.
   at System.Net.Security.SslStream.ReceiveHandshakeFrameAsync[TIOAdapter](CancellationToken cancellationToken)
   at System.Net.Security.SslStream.ForceAuthenticationAsync[TIOAdapter](Boolean receiveFirst, Byte[] reAuthenticationData, CancellationToken cancellationToken)
   at System.Net.Security.SslStream.ProcessAuthenticationWithTelemetryAsync(Boolean isAsync, CancellationToken cancellationToken)
   at Microsoft.AspNetCore.Server.Kestrel.Https.Internal.HttpsConnectionMiddleware.OnConnectionAsync(ConnectionContext context)|URL: |Action: 
2025-05-05 10:57:10.6584|Debug|Microsoft.AspNetCore.Server.Kestrel.Https.Internal.HttpsConnectionMiddleware|Failed to authenticate HTTPS connection. System.IO.IOException: Received an unexpected EOF or 0 bytes from the transport stream.
   at System.Net.Security.SslStream.ReceiveHandshakeFrameAsync[TIOAdapter](CancellationToken cancellationToken)
   at System.Net.Security.SslStream.ForceAuthenticationAsync[TIOAdapter](Boolean receiveFirst, Byte[] reAuthenticationData, CancellationToken cancellationToken)
   at System.Net.Security.SslStream.ProcessAuthenticationWithTelemetryAsync(Boolean isAsync, CancellationToken cancellationToken)
   at Microsoft.AspNetCore.Server.Kestrel.Https.Internal.HttpsConnectionMiddleware.OnConnectionAsync(ConnectionContext context)|URL: |Action: 
2025-05-05 10:57:10.6980|Debug|Microsoft.AspNetCore.Server.Kestrel.Connections|Connection id "0HNCBL9O9DP2H" stopped. |URL: |Action: 
2025-05-05 10:57:10.6980|Debug|Microsoft.AspNetCore.Server.Kestrel.Connections|Connection id "0HNCBL9O9DP2I" stopped. |URL: |Action: 
2025-05-05 10:57:10.6980|Debug|Microsoft.AspNetCore.Server.Kestrel.Transport.Sockets|Connection id "0HNCBL9O9DP2I" sending FIN because: "The Socket transport's send loop completed gracefully." |URL: |Action: 
2025-05-05 10:57:10.6980|Debug|Microsoft.AspNetCore.Server.Kestrel.Transport.Sockets|Connection id "0HNCBL9O9DP2H" sending FIN because: "The Socket transport's send loop completed gracefully." |URL: |Action: 
2025-05-05 10:57:10.7401|Info|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |URL: |Action: 
2025-05-05 10:57:10.7401|Info|Microsoft.Hosting.Lifetime|Hosting environment: Development |URL: |Action: 
2025-05-05 10:57:10.7401|Info|Microsoft.Hosting.Lifetime|Content root path: C:\Users\yusuf\source\repos\ECommerceSolution\ECommerce.API |URL: |Action: 
2025-05-05 10:57:10.7401|Debug|Microsoft.Extensions.Hosting.Internal.Host|Hosting started |URL: |Action: 
2025-05-05 10:57:12.4103|Debug|Microsoft.AspNetCore.Server.Kestrel.Connections|Connection id "0HNCBL9O9DP2J" accepted. |URL: |Action: 
2025-05-05 10:57:12.4134|Debug|Microsoft.AspNetCore.Server.Kestrel.Connections|Connection id "0HNCBL9O9DP2J" started. |URL: |Action: 
2025-05-05 10:57:12.5202|Debug|Microsoft.AspNetCore.Server.Kestrel.Https.Internal.HttpsConnectionMiddleware|Connection 0HNCBL9O9DP2J established using the following protocol: Tls13 |URL: |Action: 
2025-05-05 10:57:12.6098|Trace|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HNCBL9O9DP2J" sending SETTINGS frame for stream ID 0 with length 24 and flags NONE. |URL: |Action: 
2025-05-05 10:57:12.6173|Trace|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HNCBL9O9DP2J" sending WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0. |URL: |Action: 
2025-05-05 10:57:12.6173|Trace|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HNCBL9O9DP2J" received SETTINGS frame for stream ID 0 with length 24 and flags NONE. |URL: |Action: 
2025-05-05 10:57:12.6173|Trace|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HNCBL9O9DP2J" sending SETTINGS frame for stream ID 0 with length 0 and flags ACK. |URL: |Action: 
2025-05-05 10:57:12.6173|Trace|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HNCBL9O9DP2J" received WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0. |URL: |Action: 
2025-05-05 10:57:12.6173|Trace|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HNCBL9O9DP2J" received HEADERS frame for stream ID 1 with length 496 and flags END_STREAM, END_HEADERS, PRIORITY. |URL: |Action: 
2025-05-05 10:57:12.6843|Trace|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HNCBL9O9DP2J" received SETTINGS frame for stream ID 0 with length 0 and flags ACK. |URL: |Action: 
2025-05-05 10:57:12.8859|Info|Microsoft.AspNetCore.Hosting.Diagnostics|Request starting HTTP/2 GET https://localhost:7295/swagger/index.html - - - |URL: https://localhost/swagger/index.html|Action: 
2025-05-05 10:57:13.6235|Debug|Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware|Wildcard detected, all requests with hosts will be allowed. |URL: https://localhost/swagger/index.html|Action: 
2025-05-05 10:57:13.6235|Trace|Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware|All hosts are allowed. |URL: https://localhost/swagger/index.html|Action: 
2025-05-05 10:57:13.6496|Debug|Microsoft.AspNetCore.Routing.Matching.DfaMatcher|No candidates found for the request path '/swagger/index.html' |URL: https://localhost/swagger/index.html|Action: 
2025-05-05 10:57:13.6496|Debug|Microsoft.AspNetCore.Routing.EndpointRoutingMiddleware|Request did not match any endpoints |URL: https://localhost/swagger/index.html|Action: 
2025-05-05 10:57:13.7329|Debug|Microsoft.WebTools.BrowserLink.Net.BrowserLinkMiddleware|Response markup is scheduled to include Browser Link script injection. |URL: https://localhost/swagger/index.html|Action: 
2025-05-05 10:57:13.7329|Debug|Microsoft.AspNetCore.Watch.BrowserRefresh.BrowserRefreshMiddleware|Response markup is scheduled to include browser refresh script injection. |URL: https://localhost/swagger/index.html|Action: 
2025-05-05 10:57:13.7329|Trace|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HNCBL9O9DP2J" sending HEADERS frame for stream ID 1 with length 66 and flags END_HEADERS. |URL: |Action: 
2025-05-05 10:57:13.7482|Trace|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HNCBL9O9DP2J" sending DATA frame for stream ID 1 with length 4096 and flags NONE. |URL: |Action: 
2025-05-05 10:57:13.7555|Trace|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HNCBL9O9DP2J" sending DATA frame for stream ID 1 with length 925 and flags NONE. |URL: |Action: 
2025-05-05 10:57:13.7555|Trace|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HNCBL9O9DP2J" sending DATA frame for stream ID 1 with length 81 and flags NONE. |URL: |Action: 
